Date : 2026-01-12 05:10:08
Directory : /home/maniospas/Desktop/p4ot/smol
Total : 220 files,  23785 codes, 2467 comments, 2359 blanks, all 28611 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/point.s                               | ARM        |         11 |          7 |          5 |         23 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/priority.s                            | ARM        |          2 |          1 |          2 |          5 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/process.s                             | ARM        |          5 |          4 |          1 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/proof.s                               | ARM        |         34 |          1 |          8 |         43 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/rand.s                                | ARM        |          5 |          2 |          2 |          9 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/release.s                             | ARM        |          8 |          7 |          4 |         19 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/release_service.s                     | ARM        |          7 |          2 |          3 |         12 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/serialize.s                           | ARM        |         33 |          6 |         10 |         49 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/sleep.s                               | ARM        |         15 |          4 |          3 |         22 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/splt.s                                | ARM        |         13 |          4 |          3 |         20 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/unique_mem.s                          | ARM        |         10 |          8 |          6 |         24 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/unsafe_map.s                          | ARM        |         16 |          5 |          3 |         24 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/volatile_safe.c                       | C          |        246 |          4 |         14 |        264 |
| /home/maniospas/Desktop/p4ot/smol/tests/qualitative/volatile_safe.s                       | ARM        |          2 |          3 |          2 |          7 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/all.c                                        | C          |      1,551 |         32 |         59 |      1,642 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/all.s                                        | ARM        |         57 |          8 |          5 |         70 |
